Block Hash: 48966dca7dca871822d05bb0ada325617825f5d0e2e04d424324b318e5b764cd
Previous Hash: 6cb49e77e8869d1d2009a475806058bd159ed2941fcaf0b9a3fe34e50762ed0a
Merkle Root: 3a86a0157f460799262bd5dcd8c50c2b6a221e30c6b9fec03e1b3269cd2375f7
Random Number: 268580157
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- David sends $39 to Alice
- Bob sends $12 to Charlie
- Alice sends $34 to David
- Emily sends $32 to Bob
- Alice sends $47 to Bob
- Bob sends $17 to Charlie
- Alice sends $23 to Emily
- Alice sends $16 to Emily
- Alice sends $40 to David
- Alice sends $42 to Charlie
==================================================
