Block Hash: afa749d6d37109e1bff405bdd92c1285ad2058d390a0aebdc3e7805edaadcba2
Previous Hash: 2d482160fe6a087ab4b14d9c1496d717c69b0efc8f04c53cd4b8e364585ec68c
Merkle Root: f7eccdb3a7242e8867140e515834c68d1e89b9b415372efba7ec11cce11814b1
Random Number: 513569901
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Alice sends $21 to Bob
- Emily sends $33 to Charlie
- Bob sends $49 to David
- Emily sends $20 to Charlie
- David sends $25 to Emily
- Emily sends $33 to David
- Charlie sends $14 to Emily
- David sends $17 to Charlie
- Charlie sends $23 to David
- Charlie sends $27 to Emily
==================================================
