Block Hash: c6034b7a1a93dcadff31fde89b39b0cdc096083a9a53ae6231e9e771c321543e
Previous Hash: 5f8bc545e500fef955948df3307805234bd3a0d0b552c24fe5be00a78cb76d3b
Merkle Root: 5dc02d90c6c79b08db7123c9042b1b6acc9f5afbdb2ec545ec0f7da101dbbd67
Random Number: 111554166
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Charlie sends $41 to Bob
- Emily sends $22 to David
- Bob sends $32 to Emily
- Bob sends $16 to Emily
- Alice sends $21 to Emily
- Emily sends $35 to David
- Bob sends $45 to Alice
- Alice sends $50 to David
- Emily sends $42 to Charlie
- Bob sends $26 to Emily
==================================================
