Block Hash: 9480c82c4ddc7b34c9519470411ef42dd9621e904c3986427f6fc668e8a51d4a
Previous Hash: 59984592441253333bb6bade21478e83672a42c47ffbb23912af69a17198e29e
Merkle Root: 37a5344bcd507a7e6e5f42a48601e33d0b25eed9bf80669af713117124917465
Random Number: 168059725
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Bob sends $48 to Alice
- Charlie sends $18 to Bob
- Charlie sends $29 to Emily
- Charlie sends $30 to Bob
- Emily sends $19 to Charlie
- David sends $16 to Charlie
- Charlie sends $24 to Emily
- Alice sends $21 to Emily
- Charlie sends $23 to Bob
- Alice sends $13 to Bob
==================================================
