Block Hash: 16af16813fbba381afcbeec0e5e39157384fecfb83d89aa954a0e28897d30504
Previous Hash: 1b1b131702cc29ae8ee74119bd5ecc452db3e5255249f5914b67a928b17ff795
Merkle Root: 8a48d076080f14be683743b9a35a8a38b14c7c29affb2a46310619c97344a9d2
Random Number: 228854907
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Alice sends $38 to Emily
- Charlie sends $26 to Alice
- David sends $40 to Charlie
- Charlie sends $22 to Bob
- Emily sends $11 to David
- David sends $47 to Alice
- Emily sends $37 to David
- Bob sends $35 to Charlie
- Emily sends $18 to Charlie
- David sends $45 to Alice
==================================================
