Block Hash: b2f5f42bc1ad4d61b62a902573c1ac521a1b8d68b9fedbb2ff8048f232293539
Previous Hash: ccfe50358b09451c7b289a91bc89d6496109fe638572043178bb638a515ee9a3
Merkle Root: b36589c5753809b6f2a1379118829e3916a3626bc818de78874b96d0932b91c8
Random Number: 59150080
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Emily sends $28 to Alice
- Alice sends $12 to Charlie
- David sends $39 to Bob
- David sends $45 to Charlie
- David sends $30 to Emily
- David sends $26 to Bob
- Charlie sends $26 to Bob
- David sends $32 to Bob
- Bob sends $49 to David
- David sends $32 to Charlie
==================================================
