Block Hash: d9727320c72b5ae9667fc14b88afc1963887dce53d737f16438238bc944482e8
Previous Hash: c01cefcac9411780b8a7c3df8a0e3c8e9a8934ad66484f748d2b62d3650fd040
Merkle Root: 5def41128b6e4621dd6c5aee21b29cae9e9678f61443a8a24eafcef78f79bd9b
Random Number: 618384351
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- David sends $43 to Emily
- Charlie sends $49 to David
- Charlie sends $28 to Alice
- Bob sends $19 to David
- Emily sends $48 to Alice
- Alice sends $46 to Charlie
- Emily sends $38 to Bob
- Charlie sends $42 to David
- Charlie sends $10 to David
- Bob sends $31 to David
==================================================
