Block Hash: 02be1003cdb255567a4eed24b0d56018b2a1a6cff21fff6e5c577bd3dbd2c547
Previous Hash: 56c8fd4f63bbf7a140315b3c04a5a1c236239463a0953f187aa2084e7f66ab93
Merkle Root: 50028b6e02327a411804c4ed342bb96dacef94780cc49dea1c1cd5d8725c6425
Random Number: 879257509
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Alice sends $31 to Bob
- Emily sends $18 to Alice
- Charlie sends $16 to Alice
- Charlie sends $18 to David
- Bob sends $20 to Alice
- Charlie sends $35 to David
- Bob sends $16 to David
- Emily sends $33 to David
- David sends $13 to Alice
- Emily sends $17 to David
==================================================
