Block Hash: b982fc8b03e5ddf3c3759f94c18cb6cb6547111906264eba4e131a8977797f9b
Previous Hash: 21ecc43fda202025203a3364a3e6b16aa44a45ac7788dc12fe4405904325296c
Merkle Root: 55c60062d1a3a4717c8f30dfd5a23e14e9a7f759847800b1b2d47ba31ec3216b
Random Number: 492351129
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Charlie sends $45 to Emily
- Emily sends $46 to Charlie
- Bob sends $37 to Charlie
- Emily sends $49 to Bob
- Bob sends $13 to Charlie
- Bob sends $22 to Charlie
- Alice sends $50 to Bob
- Emily sends $19 to Bob
- Alice sends $24 to Charlie
- Emily sends $17 to Alice
==================================================
