Block Hash: d71e966b045c2c4e8d3427fc2414a3b4ba1d1e02fccea456016380e865f9c41c
Previous Hash: 0f09170227de503378d491bbd6b40a1ddece8c8b4a0aa943e7ab32221b522ea2
Merkle Root: 4a36771720e71199efc26a39563c7d3d31a2d6fb0a42625ce0f42190a8d3bfd1
Random Number: 500489485
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Charlie sends $38 to Bob
- Emily sends $49 to Alice
- Bob sends $46 to Emily
- Emily sends $26 to Charlie
- Alice sends $28 to David
- Bob sends $41 to Charlie
- Bob sends $39 to Alice
- David sends $38 to Emily
- Alice sends $26 to Emily
- Bob sends $28 to Emily
==================================================
