Block Hash: ff2cba1bce5fdcc2ae30136dcbcb1e21009d1a830a8d0debc72c903d66cc47f4
Previous Hash: 1c52217d92227ffc2c7cd24f35056bbf306217f181042a7ded538ff3c2ea5017
Merkle Root: 3ca947252069e0b8d45456fd7d7970c86834a3e0a1f2e089c9d1ce4b33e2c3db
Random Number: 555625161
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Bob sends $48 to David
- Alice sends $29 to Charlie
- David sends $49 to Bob
- David sends $31 to Bob
- Alice sends $50 to Bob
- Charlie sends $18 to Bob
- David sends $35 to Bob
- David sends $43 to Emily
- Emily sends $37 to Alice
- Alice sends $29 to Bob
==================================================
