Block Hash: d6ab05e89dac8595b9082213e223af5cd57688abd15ef3581c154859af4968d9
Previous Hash: 379c390825e7e2730f2529d9f91b49e266b1b0b4551fb4071910661026e58136
Merkle Root: 060975bf0953b3e82b2e0d855c93275bd5c5ba63dfde3a9b16246bc4542285c8
Random Number: 892397332
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- David sends $31 to Emily
- Alice sends $28 to Charlie
- Charlie sends $10 to David
- Alice sends $36 to Charlie
- Alice sends $44 to Bob
- Charlie sends $18 to Bob
- Emily sends $23 to Charlie
- Bob sends $39 to David
- Bob sends $40 to Charlie
- Emily sends $26 to Bob
==================================================
