Block Hash: 0476e769a8918af3724e62df99d7ecaa6345a0641ba2459930fa236fbe71881c
Previous Hash: 846b07e07e41915f15b6f0c083e1070d1f4ae78463732c9c3f0a96b4da9e590e
Merkle Root: 6dce5286fcfd46a69bc8f7f392a2f2f8f2ca255d05542c0580c78dcdc3b11c1d
Random Number: 956107908
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Alice sends $38 to David
- David sends $25 to Charlie
- Bob sends $15 to Alice
- Charlie sends $24 to Bob
- Emily sends $20 to Bob
- David sends $44 to Alice
- Charlie sends $45 to Bob
- Charlie sends $19 to Bob
- David sends $24 to Emily
- Charlie sends $40 to Bob
==================================================
