Block Hash: 483f88c8325745af2f069fd8e65f6cced1aeaafd4caf04bb5f6b0beac89faebe
Previous Hash: f807df6b60a729bcd2b74cd7d952af25c2bdced76e0931edf6f16b350a97fa5a
Merkle Root: a3ed2e1bca1264a8f852fd9415cfd62c77faf518e8e54df9ab1f2b20681570db
Random Number: 710298210
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $19 to Emily
- Alice sends $20 to Bob
- Bob sends $30 to Charlie
- Charlie sends $35 to Alice
- Bob sends $11 to Charlie
- Bob sends $27 to Alice
- Charlie sends $24 to David
- Charlie sends $29 to Alice
- Bob sends $24 to David
- Emily sends $48 to David
==================================================
