Block Hash: 46856d2fa465590a5644643600262d7db04b243427a7fbc202f2b2e0952fd9e9
Previous Hash: 4c601874e000f386cb87c9f2e8f248f995d69e3d460bd4285a5ab30679228129
Merkle Root: bc68adb9b3b756e2fb1b3e7b67a0399c86383191ba387a52952168ea550b756b
Random Number: 719678495
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- David sends $33 to Alice
- Charlie sends $27 to Emily
- Alice sends $35 to Charlie
- Bob sends $17 to Emily
- Charlie sends $26 to David
- Alice sends $42 to Charlie
- Alice sends $44 to Charlie
- Alice sends $45 to Charlie
- Bob sends $22 to David
- Bob sends $16 to Emily
==================================================
