Block Hash: 145a1d256b2443c1ab20a1d6475034b64b89c3bdba09dbe67e937bb3ffe17d0c
Previous Hash: 9bee81e8a305907d6b0cdcbf14de82328a2491d9b6d28566ba4425fae4812742
Merkle Root: 66fde28887b03dac1e3c2e00b0e30984afab0c8dec0005669a8ae6df245e3433
Random Number: 377766331
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- David sends $32 to Alice
- Alice sends $10 to Charlie
- Charlie sends $19 to Emily
- Bob sends $15 to Charlie
- Alice sends $44 to Bob
- Charlie sends $24 to Bob
- Charlie sends $12 to Bob
- Emily sends $41 to David
- Alice sends $18 to Bob
- Charlie sends $32 to David
==================================================
