Block Hash: 0dfd05f229f1f5bbecdee38dc23ac2f8e8bd49e5cf19d0e50b2ff86d0e3d9f94
Previous Hash: 380fb37b43c86e8e4b3a3a72dbd82f244054cc62fc607ffeb5961cf8fcaf5519
Merkle Root: 75097142133187ea7c787d4cee0185b8eeda2f91fb25397a705241d51cef1e8b
Random Number: 591288569
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Alice sends $41 to Charlie
- Charlie sends $17 to Emily
- Charlie sends $15 to David
- Charlie sends $14 to David
- Charlie sends $50 to David
- David sends $44 to Bob
- Bob sends $38 to David
- Bob sends $20 to David
- Charlie sends $14 to Emily
- Bob sends $36 to David
==================================================
