Block Hash: f2fdf9c87e88050c1e1011b2b994afd56017a61d8f5566f477ffcef4067cca8e
Previous Hash: 1807614a3477cefbc1e02d01d0225df9fcd83ad5341c89484c5cdc51ebc8a31d
Merkle Root: 0386180beaa5f720d9975e7a5867169a9eaa3d8fd1fce2f3e198340862679cd9
Random Number: 234103848
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Bob sends $36 to Emily
- Alice sends $12 to Charlie
- Alice sends $31 to David
- Charlie sends $49 to David
- David sends $26 to Bob
- Charlie sends $11 to Bob
- David sends $46 to Bob
- Alice sends $46 to David
- Charlie sends $25 to Bob
- Charlie sends $18 to David
==================================================
