Block Hash: 4fc5a18f621323cbb2057e35fb6b27643994ab75debdcd6fb8cf3b565897ed41
Previous Hash: 3ff29bce9ea5791bd189ee47ec6a283af1c224708f3c60a8b3dc282842db55a4
Merkle Root: ac8849e8abeee87557e7a03354627b170c9b8612e742eb24bd048b866dc06136
Random Number: 368542939
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- Alice sends $33 to Charlie
- David sends $33 to Bob
- Emily sends $20 to Bob
- Charlie sends $47 to Alice
- Bob sends $19 to Emily
- David sends $44 to Emily
- Charlie sends $32 to Emily
- Emily sends $12 to Alice
- Bob sends $34 to David
- David sends $42 to Bob
==================================================
