Block Hash: 76097509b723c6ea253c388c679ba73e74c1fc0bce5ab02e65564079b59eed5f
Previous Hash: a70b953d298476542e2733efef5db540050a428b8e4f0714f9d2b282b377c6fc
Merkle Root: fbaab144fcfcc89a2a930427749f6d38a72d9dc723795ba88fa85977eef4c5e0
Random Number: 640315319
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Alice sends $40 to Charlie
- Emily sends $32 to Alice
- David sends $36 to Alice
- Charlie sends $12 to Emily
- Bob sends $10 to Alice
- Bob sends $41 to Emily
- Bob sends $28 to David
- Charlie sends $50 to Bob
- Charlie sends $39 to David
- David sends $32 to Bob
==================================================
