Block Hash: 969961e9a3a4bbcddfb9637f09183878aa7617363d0dc03b2a0a50f53a7062a1
Previous Hash: f7867afdacf44b876b78cdf9b3c8467739696793f8070b2a3c6806f214b60ada
Merkle Root: b4a958520cdb2a926d5ce7831925fadeb35e14018c0fb5329fe51ebf7bcbe06e
Random Number: 832952722
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Emily sends $42 to David
- David sends $39 to Charlie
- Bob sends $23 to Alice
- Alice sends $44 to Charlie
- Alice sends $37 to Charlie
- David sends $12 to Bob
- David sends $19 to Charlie
- David sends $10 to Emily
- Bob sends $46 to Charlie
- David sends $31 to Emily
==================================================
