Block Hash: 254612bcfed7bf56b1f9958aac218070fd5bcc1eeff94d59458872bddd9c5f4e
Previous Hash: 1d3a607e8a36d54994aad6f7952e0cbc160ac6b609baed101a4f69b99400997f
Merkle Root: 653393c1be533c90e042aaf8128b1ef35a5146d0ef27dac4f85e6dbd839209ae
Random Number: 550235604
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Charlie sends $34 to Emily
- Emily sends $14 to David
- Bob sends $45 to Charlie
- Emily sends $23 to Charlie
- David sends $34 to Alice
- Alice sends $44 to Charlie
- Emily sends $13 to Alice
- Emily sends $13 to David
- Bob sends $15 to David
- Alice sends $24 to David
==================================================
