Block Hash: 3b062f4db9bfb90827210cd744dadb4a8291c0f62f9db0940b105f117921ec62
Previous Hash: e8f312df516c865fd281716dceae02cac4914f775f76c76040ad0e96fcfe4150
Merkle Root: c1bbc4ca872d52907344f31ee8585f933b995e220061b09e70ef7ab580923255
Random Number: 534307477
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- David sends $46 to Alice
- Charlie sends $16 to David
- Charlie sends $18 to David
- Alice sends $37 to Bob
- Bob sends $17 to Emily
- Emily sends $21 to Bob
- Bob sends $35 to Charlie
- Charlie sends $11 to Bob
- Emily sends $40 to David
- Emily sends $37 to Bob
==================================================
