Block Hash: 0ef4f769ffa6d78a6aa27b89c044419b4c44d51e22795d120d5c00a9d39769fb
Previous Hash: 64861d68d8ec397b760aab86399da00b955e6c2044f5b0ac3b9b6331da3a6fff
Merkle Root: 97e399d1b3e0435b8b805e78f8f79cc13bcf60ff0e7ac37c276a4aaa86b2d49c
Random Number: 147823563
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- David sends $29 to Emily
- Charlie sends $13 to David
- Emily sends $39 to Alice
- Emily sends $13 to David
- Emily sends $11 to David
- Alice sends $34 to Charlie
- Alice sends $39 to David
- Emily sends $12 to David
- Emily sends $50 to Bob
- Emily sends $11 to Alice
==================================================
