Block Hash: fd661b540413a97e1ec11462c0b6e675c1b495fdd2c4fe7a61d46d8abd1b7ac1
Previous Hash: 14a57bf8933fff57f8c49485a272def3ee26c8c368d4d2c2a1dfb7ba61129484
Merkle Root: 89ba5b2d6bf6fe9b6bbee8651b36d8db810cac2a2a40b4c10c62ec1fd9937510
Random Number: 739119171
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Alice sends $40 to Bob
- Bob sends $45 to David
- David sends $18 to Charlie
- David sends $42 to Alice
- David sends $25 to Emily
- Bob sends $19 to David
- David sends $38 to Emily
- Emily sends $40 to David
- Bob sends $21 to Emily
- David sends $49 to Alice
==================================================
