Block Hash: befa9382d23f2f395476af815471bc6ce46e4112c7f5a0c2943eb15685ab1777
Previous Hash: 58bd0d6a0300f00466216b2e5e47076e3212b9d25fcc519b9a91bc66455c5fb3
Merkle Root: 5d81b808f0c909812a325d3e27b911f9f148b5049602e824ff5d592da0931b4a
Random Number: 17177947
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Charlie sends $18 to Bob
- Emily sends $14 to Alice
- Alice sends $36 to Charlie
- Emily sends $32 to Charlie
- Emily sends $12 to Charlie
- Bob sends $16 to Charlie
- Bob sends $20 to David
- David sends $40 to Charlie
- David sends $38 to Charlie
- Bob sends $39 to David
==================================================
