Block Hash: a3528dd22f3f1a2a51cf66cc3fe5a1e553e3bad5b4009a48b5e583f455dee48a
Previous Hash: b7128eeed241514c95abe938472cf1ed256db4558d60e662f14b00655f42223f
Merkle Root: 31fb63493ff4c74682558cd1da3f39756c23d55177bbbbcb08cbcaa5e700ba9d
Random Number: 204370152
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Bob sends $26 to Charlie
- Emily sends $32 to David
- Emily sends $38 to David
- David sends $15 to Emily
- Emily sends $49 to Alice
- Alice sends $26 to Emily
- Emily sends $37 to Alice
- David sends $48 to Bob
- David sends $37 to Bob
- Charlie sends $38 to Bob
==================================================
