Block Hash: 371bca7ee244d2ee8bfdc8ed796c4cbcc0acb34067b2336c5523ce785eaae941
Previous Hash: ca5591c136546d5bbe8121b37132d6215c58d132533261ee79d97dc9c9d2f0cc
Merkle Root: 312f616fa7a0dd2aebdd71d8c401d5517c62592f47f6051f8d71efcc4f50e4e1
Random Number: 64509166
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Emily sends $29 to David
- Alice sends $25 to Bob
- Alice sends $11 to Charlie
- Bob sends $26 to Alice
- David sends $20 to Charlie
- Charlie sends $44 to Emily
- David sends $38 to Emily
- David sends $40 to Alice
- David sends $34 to Alice
- Alice sends $10 to Bob
==================================================
