Block Hash: d6fdf1558b0104484e1e4a51ec9daf9f2ba8dbdd04019f89f53b4c8fd64ce929
Previous Hash: 966351832f05583fa0c0decbd4abcdc9fe1f8169e1fe227e4b3b891a8e8b5499
Merkle Root: 347251ab697bea21be3f1de99d1c915c0d5d769f9a31de9c270d37c002248d56
Random Number: 996375412
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Bob sends $30 to Emily
- David sends $44 to Bob
- Emily sends $22 to Alice
- Emily sends $27 to Alice
- Emily sends $40 to Charlie
- Charlie sends $20 to Bob
- Alice sends $42 to David
- Emily sends $36 to David
- David sends $15 to Alice
- Charlie sends $46 to Bob
==================================================
