Block Hash: 6cf190fbb13f361f352fc8665c97216b4b8d20cc968dc087726e4809fbe8cc50
Previous Hash: e4b4820ea856bfeb06a68b3c18879ef1884ea3cf69d7e0328635459c0931908c
Merkle Root: f134504bee44e40524c002d4527edbe2f79321c1b43099dcf81b8169d504c0ea
Random Number: 223080866
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Alice sends $21 to Bob
- Bob sends $25 to Emily
- David sends $28 to Charlie
- Bob sends $35 to Charlie
- Emily sends $12 to Charlie
- Emily sends $26 to Charlie
- Bob sends $34 to Alice
- Charlie sends $42 to David
- Bob sends $18 to Alice
- David sends $49 to Charlie
==================================================
