Block Hash: 6dbeba151d08fcf33b51c7df19cf7382a99f6069574529baa68ec78d753503a4
Previous Hash: 5736cb7b3635af22c1a28ba1eea576d4b1e7b35c46242854846b97506efdbf26
Merkle Root: 5be9dc34630f4a7146c5b9dde50860aabe495efc41614c034587fbd419126082
Random Number: 576662961
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- Alice sends $47 to David
- David sends $10 to Charlie
- David sends $21 to Emily
- Charlie sends $19 to Alice
- Charlie sends $31 to Alice
- Emily sends $20 to Charlie
- Emily sends $18 to Alice
- Bob sends $23 to Charlie
- Bob sends $47 to Charlie
- Charlie sends $16 to Bob
==================================================
