Block Hash: 64e8d961938ce9fdc0a51e1c5346be49a5403d6ece0acf7021e3daa2dbb0b5af
Previous Hash: d4f22c2c513e5cb8595ee5747f4b35a3c982c2e01adffd848082ed15761f8728
Merkle Root: f1be287470bc4271792e0ba0c894cc9562806ebd9af725e67333734840866515
Random Number: 634982707
Forward Hash: 0
Timestamp: 2023-11-17 11:13:03
Transactions:
- Emily sends $39 to David
- Charlie sends $30 to Bob
- Charlie sends $18 to Bob
- David sends $16 to Alice
- Alice sends $17 to Charlie
- Alice sends $50 to Emily
- Charlie sends $26 to Alice
- Bob sends $26 to Alice
- Bob sends $34 to Emily
- David sends $11 to Alice
==================================================
