Block Hash: a9806220f9871515ad6e10942fe9aff388f1f911ce97dcc43ead71da6b7eac6b
Previous Hash: 3671ff072577a335d7787d3f9528f3f9e3e2a83843ad49e7cc88c55d4d727834
Merkle Root: 2005c4a83b8fba3f310274240faf890933108ab4ace38c5b8f8cbdc96c57b8b9
Random Number: 372128479
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Charlie sends $46 to David
- Emily sends $42 to Bob
- Alice sends $26 to Charlie
- David sends $25 to Bob
- Bob sends $28 to Alice
- Alice sends $48 to Bob
- Bob sends $16 to Alice
- Alice sends $35 to Emily
- Bob sends $16 to Alice
- David sends $14 to Charlie
==================================================
