Block Hash: d217e980e8c16a5b21c5237dfe8bcb7259d98f79acb6107d85275a59f04b6ef4
Previous Hash: 8d71428047d4790986a0e882903f770673ce8d2bef4c5b230f46661674ca1fbb
Merkle Root: d2fb250df428550f0c466f7a1b8069217087b4b9d8235b001b313303e54a0fa9
Random Number: 698951138
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Alice sends $27 to Emily
- Bob sends $14 to Alice
- David sends $16 to Alice
- Bob sends $20 to David
- David sends $39 to Alice
- Emily sends $22 to David
- David sends $49 to Charlie
- Emily sends $11 to Charlie
- David sends $16 to Alice
- Emily sends $34 to Alice
==================================================
