Block Hash: 47c862d6ec1fc7335f860825088af6ee0ce5351d0eae17528ae2d44058ef2739
Previous Hash: 3b8e0a54d89378fc98d56bd39a67b63cbbe42e51c31fde9db34cf8cc14638ac4
Merkle Root: 85b36de38cc161879d421c29f4d60a14a185c19b0a9aea36cb096f870c3c24f9
Random Number: 269959981
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- Emily sends $14 to David
- David sends $13 to Emily
- Charlie sends $34 to Emily
- David sends $16 to Alice
- Bob sends $23 to Alice
- David sends $26 to Charlie
- David sends $10 to Charlie
- Alice sends $29 to Bob
- David sends $46 to Bob
- David sends $11 to Bob
==================================================
