Block Hash: 6fd485c6fa6c9d3c2e281b8025726a6a886c312d142321fb9680ef2d7b380240
Previous Hash: 071b9d231cb1a7b4bd7555b4c5281dcc0f829f5b2f297d87689ada3dc9551f7a
Merkle Root: e8c5dacd0eb1641954913f4550f52c7d88fe057c80df0f25587b737725898b8d
Random Number: 592604907
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Bob sends $39 to Emily
- Emily sends $13 to Alice
- Charlie sends $29 to Alice
- Charlie sends $17 to Bob
- David sends $34 to Alice
- Emily sends $18 to Alice
- Emily sends $42 to David
- Emily sends $21 to Bob
- Charlie sends $44 to David
- Alice sends $46 to David
==================================================
