Block Hash: 48550259fffecd29e4dd25ab2ee5cf8c99e53c2919aecf43458ae1a3e61a2214
Previous Hash: 3d3e4dd7f4e0ab9efdcc5610648f9e48911db2106f0fbff1813a6215b39e3cd4
Merkle Root: a3cd0bde59e530dc51d4b9ed4f2f1d3b97c9197a7c6db73aa8723ce65e90bbf0
Random Number: 346834124
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Alice sends $36 to David
- Bob sends $48 to Charlie
- Charlie sends $44 to Bob
- Emily sends $28 to Alice
- David sends $25 to Bob
- Charlie sends $14 to Bob
- Emily sends $41 to Alice
- David sends $42 to Emily
- David sends $25 to Emily
- Bob sends $13 to Alice
==================================================
