Block Hash: 082ef4fe995aee7d298d19283ca23521968a9d8c14f03c813d56b3eb9ef7d37e
Previous Hash: 0fdaf7457b7879d09af1d4d650882dec579037b9a093f265a96bc503b5320700
Merkle Root: ae6ff93f34393f3490c15e25d46dbdf5c79d16bf1f17de4f7fb2ffddb8d83129
Random Number: 666501209
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Alice sends $22 to Bob
- Charlie sends $31 to David
- Charlie sends $48 to David
- Bob sends $32 to Charlie
- David sends $43 to Emily
- David sends $42 to Emily
- Charlie sends $13 to Alice
- David sends $36 to Emily
- Charlie sends $49 to David
- David sends $12 to Alice
==================================================
