Block Hash: 6c668271a43f90df0adc958016cf42c562126a8e50e204503636f0eb25c59af7
Previous Hash: 2e26276777343f692e00517f795c1f028e69997b6afdfddd7d76dfbfa658dd34
Merkle Root: 315496e4e64f3bdff4a5c11d283e03f0f90734b1e1c96abdbf01c6a01c1d2920
Random Number: 718385096
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Alice sends $23 to Emily
- Emily sends $11 to Charlie
- Emily sends $36 to David
- Bob sends $31 to David
- Bob sends $17 to Charlie
- Emily sends $49 to Charlie
- David sends $42 to Charlie
- Charlie sends $31 to David
- David sends $36 to Charlie
- Emily sends $31 to David
==================================================
