Block Hash: 4320d286b21999ee5179860ab6ea22f10e75e5d761da33c59cce114eeb23d523
Previous Hash: 59b0d1060e256b5427c17d90a4e38ad1a544708061f560ade631276655ce08b9
Merkle Root: 1f5504076fa884ff86d4c28a5557a8235ccb68444c29cb1f3feed0d05a7049ff
Random Number: 62617039
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Bob sends $34 to Alice
- David sends $34 to Bob
- David sends $49 to Bob
- David sends $41 to Bob
- Emily sends $48 to Charlie
- Emily sends $14 to David
- David sends $20 to Emily
- Alice sends $23 to Charlie
- Alice sends $13 to Charlie
- David sends $16 to Charlie
==================================================
