Block Hash: f9148390b2e32dd4eacae40a469587ae64f747f3474ff790a3e42dd6487ab4aa
Previous Hash: 7066c2255fedfaefea7d8026d2d29ff8881759966feef2a9586ca4c445ffc2ad
Merkle Root: bb750e7f1cb6e5baeeeca4dc77da2249bcc45e64dfed521bddebde6ed24e3eac
Random Number: 360334562
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Bob sends $19 to Charlie
- Alice sends $24 to Emily
- Alice sends $37 to David
- Emily sends $21 to David
- David sends $30 to Alice
- David sends $35 to Bob
- David sends $20 to Emily
- Charlie sends $20 to Emily
- Charlie sends $31 to Bob
- Alice sends $33 to Bob
==================================================
