Block Hash: 196fa87964d40b6da7528fc830e142118bec83445e70aa4b4dfea705c8aaa231
Previous Hash: 5944fa09010e792dafb6358958045927c3b665382f332129203694b95595ff2d
Merkle Root: ca73499a89fcdfb1d1565515624cebc3093648de22ae75e99131325b70dd7a20
Random Number: 535721618
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Charlie sends $28 to David
- Alice sends $20 to Emily
- Alice sends $28 to Emily
- David sends $22 to Emily
- David sends $27 to Emily
- Emily sends $30 to Alice
- David sends $29 to Bob
- Alice sends $17 to Emily
- David sends $10 to Bob
- David sends $49 to Charlie
==================================================
