Block Hash: 5c848bcc375ccbf4fbe8ae85c164cb307d3730ead5a001a0ec62a99d458e7aa9
Previous Hash: f844dad28d5539fa7424561c658d0e81a8c8472852dcc73287bcebcb5d16d6bc
Merkle Root: 77758a4ffcd325291eb9799003519255f1036259491062316fe211b1054cc263
Random Number: 474488090
Forward Hash: 0
Timestamp: 2023-11-17 11:12:34
Transactions:
- Alice sends $18 to Emily
- Bob sends $16 to David
- David sends $40 to Charlie
- Emily sends $37 to Bob
- Charlie sends $38 to Bob
- Bob sends $39 to Charlie
- Charlie sends $24 to Bob
- Charlie sends $32 to Alice
- Charlie sends $30 to Bob
- Charlie sends $13 to Alice
==================================================
