Block Hash: 71db1ab932e153990f418cbd0bf18f50df76778817ed69a70836825d9f213024
Previous Hash: ae8ec454258a263ccba592ae2fd03bb240a81df130e9dfca3fadfb513e5b0c91
Merkle Root: dc83c19c397fc08af367506241e0bf71bac5624e9eff648c8978c6d9c7017331
Random Number: 96184975
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Charlie sends $50 to Bob
- Alice sends $50 to Charlie
- Bob sends $49 to Charlie
- Bob sends $23 to David
- David sends $40 to Charlie
- Bob sends $15 to David
- Emily sends $48 to Charlie
- Bob sends $41 to David
- Emily sends $18 to Alice
- Emily sends $35 to Alice
==================================================
