Block Hash: 45e7582316f6c524b41826d7b8369217abd692227afde3689b739ca69eba6b51
Previous Hash: f9cf72f69a1599c295aa21fbab868f4cf469ec1d7b827940a6c803a840fb61d3
Merkle Root: ad56b4475f557d9e80529b2c453472072691ca3b9ef5d535d16fd66beb6f6a23
Random Number: 6513778
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Emily sends $42 to David
- David sends $12 to Charlie
- David sends $30 to Charlie
- David sends $43 to Bob
- David sends $13 to Bob
- Charlie sends $19 to Emily
- David sends $45 to Emily
- David sends $25 to Alice
- David sends $43 to Bob
- Charlie sends $19 to Bob
==================================================
