Block Hash: 28527e089cfcd9cf0167558c0265e6e733da42921c412cf463fd0e724ce1eb8a
Previous Hash: 99856572f9dd2840a9cde5fbd734ebf5d7fff70a5324e785a75c3be97bddad44
Merkle Root: edbd87defa5a1a4d1df5107809d6c4669b76e7e8e5337a89823784f6598dd749
Random Number: 426784046
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Emily sends $28 to Charlie
- Alice sends $13 to Bob
- David sends $25 to Emily
- Bob sends $36 to David
- Bob sends $22 to Alice
- Charlie sends $43 to David
- Charlie sends $33 to Alice
- Bob sends $17 to David
- Charlie sends $13 to Alice
- Bob sends $12 to Alice
==================================================
