Block Hash: 8d498396bb2786460f7dae84f8c31bef1c9c86f2d4b21ca23a1138d149bed517
Previous Hash: 2f4e6e34da6a5dc11b3f0e24d186b1fb0f2d205a63c45c45a9f1cf08d6f1cf31
Merkle Root: 72642bd41e2fcaa2b37fc99b07fe9e947ea37e69a66c1da981dba908018dda5f
Random Number: 192213895
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Alice sends $39 to David
- David sends $30 to Bob
- Emily sends $39 to Alice
- David sends $14 to Bob
- David sends $27 to Emily
- Charlie sends $47 to Emily
- David sends $48 to Alice
- Charlie sends $34 to Alice
- Emily sends $32 to Alice
- Emily sends $21 to Charlie
==================================================
