Block Hash: 3e80d4e941cb9c43e408f065783eae4ab64bba3a92474fff630408edfc6dc17d
Previous Hash: fe0856788d8bfc98b1d3bf57aa0fec7ba18ab519f9ca85c864c312e24a415afa
Merkle Root: 8d23558b2b94f981571873eb0e152004c91d61b1f6d595f0744449e6dc5613bd
Random Number: 282733386
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- David sends $34 to Charlie
- Emily sends $11 to Bob
- Emily sends $43 to David
- Emily sends $12 to David
- Alice sends $13 to Bob
- Emily sends $41 to Bob
- Alice sends $34 to Emily
- Emily sends $19 to David
- Charlie sends $36 to Bob
- Bob sends $11 to David
==================================================
