Block Hash: a3740bf704758e04a2373df426e0c6a733e7e70f157a27bd7e5dedea642f71ee
Previous Hash: fa0376a665fb66a92b28a081554b6c176af196614b9bfcd8731865ce5f092532
Merkle Root: 5176cf88f0e7f8e67ba71a21c04ee542ac19bb769d6ed95cf28fb2fcc04f429a
Random Number: 20105657
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Alice sends $22 to Emily
- David sends $15 to Charlie
- Bob sends $43 to Alice
- Emily sends $12 to Charlie
- Charlie sends $46 to Alice
- Emily sends $35 to Alice
- Emily sends $39 to Bob
- David sends $18 to Charlie
- Emily sends $10 to Bob
- David sends $15 to Bob
==================================================
