Block Hash: 88b7f14a1f0749c99cab1e3ba7db215832aba219f0926fd5910b6de51785c6b4
Previous Hash: 3efc08ff9df2180da83775fcc1af471bc8da63ffdf5c19484016d7c21dc9d9e2
Merkle Root: 03cdb9e7a077e7d71252bccd00cd13766404a7c0fe7b3c451b14685161b43548
Random Number: 720510373
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $30 to Alice
- David sends $42 to Charlie
- Alice sends $35 to Emily
- David sends $13 to Emily
- Bob sends $13 to Charlie
- Alice sends $12 to Charlie
- Charlie sends $20 to Emily
- Alice sends $32 to Charlie
- David sends $30 to Charlie
- Bob sends $10 to Emily
==================================================
