Block Hash: 1b71ec1830295d9cbd52547869e89b7630b830d8d2e84f16b0b2451ccb20bc09
Previous Hash: 1fa2eb1d9dd1ef7c7b8004f757bf5cad63a835836de464ad24b5f7ee3c4390c8
Merkle Root: 24cd959e76a268b1d35097af66da09f6a5859e0e1176c9a2995571d16f8462a8
Random Number: 23043711
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Bob sends $16 to David
- Alice sends $16 to Bob
- Emily sends $39 to Bob
- Charlie sends $39 to Bob
- Charlie sends $29 to Bob
- Emily sends $43 to Charlie
- Alice sends $27 to Emily
- Alice sends $36 to Bob
- Alice sends $32 to Bob
- Alice sends $41 to Emily
==================================================
