Block Hash: 2b40b03f7964f2607976da2705bcfd9d2bdd866876f8e348358a46df345a51d9
Previous Hash: 24e4478bb24482d9e00811c6797d59a3405587aaa90752506e8044eb38262415
Merkle Root: 1a096dc56b16241b47857d0bd84358c3cb8d217d5b54a5afd35785e51a6e0a93
Random Number: 996648960
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- David sends $47 to Emily
- Bob sends $23 to Charlie
- Bob sends $39 to Alice
- Emily sends $19 to Charlie
- Bob sends $25 to Alice
- Emily sends $35 to Alice
- Charlie sends $19 to Alice
- Emily sends $46 to Alice
- Emily sends $24 to David
- Bob sends $30 to David
==================================================
