Block Hash: 66aedbc6be9624a98e8b544f259bf95fc619326a2bc5b902161f12d50e75a23b
Previous Hash: 6c47f50969f13920311abd2e9441e2ec6a01647db2ad03bde2423980b10a0023
Merkle Root: 4be3906180a1b54e833d3a249898c2fa3ede34b1d2277b66ededfe37b2581bf5
Random Number: 44378643
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Charlie sends $20 to Bob
- David sends $22 to Charlie
- Alice sends $49 to Charlie
- Bob sends $15 to Emily
- Bob sends $33 to Alice
- Bob sends $13 to Alice
- Emily sends $39 to David
- Alice sends $38 to David
- Emily sends $36 to Charlie
- Emily sends $11 to Alice
==================================================
