Block Hash: bc2dd37936d079887f4e27004fd3450bc76d2e819962121feb98e91bf4493947
Previous Hash: aec742ce29e6b4f8ae6188dd0b502dd4ac23622e06a95ac5a24c0e38c173b72d
Merkle Root: c9432bbf713cfa64dbf8f7f1ce27cb23e02272d7c9707d2966fd4a83c789a3c3
Random Number: 362049902
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Bob sends $39 to Alice
- Charlie sends $11 to Bob
- Charlie sends $10 to David
- Charlie sends $45 to David
- Emily sends $20 to David
- Charlie sends $19 to David
- David sends $35 to Bob
- Charlie sends $32 to Bob
- David sends $45 to Emily
- Alice sends $50 to Emily
==================================================
