Block Hash: 6fd675cb152ee12639a3f140a594bfd8ca2cc7d3a2e8b908427e599d530cf924
Previous Hash: 535cb2250e06d65d65d42a8bc59aceb1cb4008a8d3ad40b841962d7e3ccc26b9
Merkle Root: b1c7842af2b26a10dad338dc9522520f3577491aceb34cda84722869e0109b7a
Random Number: 411121014
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Emily sends $10 to David
- Charlie sends $14 to Bob
- David sends $18 to Charlie
- Bob sends $20 to Charlie
- Bob sends $35 to Charlie
- Alice sends $50 to Bob
- Bob sends $43 to Alice
- David sends $39 to Bob
- Alice sends $27 to Emily
- Alice sends $20 to Emily
==================================================
