Block Hash: faccf74d4f08f00a1eabb5ca3e5b91fccae25eabad0eb6d6bf39a37b45c80cfc
Previous Hash: 832fb87a02200bf9fec4d1c0927ae3f2344fa4ebcff6be24fe14310f688b6bc8
Merkle Root: dfd3a4f62167abadf6263354f51e80e864d5d9366fb9a4cb03834e54b61e1c20
Random Number: 152071495
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Charlie sends $35 to Emily
- Emily sends $12 to Bob
- Emily sends $29 to Charlie
- Emily sends $31 to Bob
- Emily sends $20 to David
- Alice sends $46 to Charlie
- David sends $34 to Charlie
- Emily sends $50 to David
- Emily sends $37 to Alice
- Emily sends $20 to Bob
==================================================
