Block Hash: a8f41439a39883a8ded7e83b2962b30efadf60087ce246d2569f6dd6d772ac4f
Previous Hash: 4843654779c79ba4fa7a187a1f229615f1aea31b465234dc7b6aea355d5e4aab
Merkle Root: 5c30209ca9107b67725d091dd22d1f6c62c795ab2dd722406212f42f834166c4
Random Number: 273029530
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $42 to David
- Alice sends $35 to Emily
- Charlie sends $33 to Bob
- David sends $50 to Alice
- Alice sends $16 to Emily
- David sends $23 to Emily
- Alice sends $32 to Bob
- David sends $19 to Bob
- David sends $44 to Bob
- David sends $46 to Charlie
==================================================
