Block Hash: 4f58445072ec3ffe95de136e1306db16c0143c62562c205d852996ee31cad9c7
Previous Hash: 5cbba6c95889f87edbc9a9bf4be59397908fe4f26d62d45002e548766967092e
Merkle Root: d883595ae5169a4bbd545f880030f207735a96e10a672e2d57d53449e0652ecc
Random Number: 226952520
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Charlie sends $49 to David
- Bob sends $14 to Emily
- Alice sends $40 to Emily
- Bob sends $43 to Alice
- Emily sends $19 to Bob
- Bob sends $17 to Charlie
- Bob sends $33 to Charlie
- Alice sends $28 to Emily
- David sends $25 to Charlie
- David sends $49 to Alice
==================================================
