Block Hash: da793dcf162140cebf861a58d43771d2ff0f593d807e987c1369b65cdd1a5153
Previous Hash: 7aa9ed02ff0916685e5cd62e86ca4afbf56d7ff74b14c3c25395627467599a91
Merkle Root: b270f0eda1cec3bce92c8d23e232721f7107b64c2f26f006db9ad8faf07b3879
Random Number: 532572214
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- David sends $28 to Bob
- Bob sends $46 to David
- Charlie sends $47 to David
- Charlie sends $29 to Emily
- Charlie sends $31 to Alice
- Bob sends $34 to Emily
- Charlie sends $18 to Emily
- Emily sends $45 to Alice
- Bob sends $32 to Alice
- Alice sends $48 to David
==================================================
