Block Hash: 78070a6674ab74097675c300d57babaa1ad44a694e5d072e0a5a2ea2cdda63ac
Previous Hash: 0db3ea804e9f9fb8e4d28e8f26b4c78974aec82fad2192a1fec652ed3d973d97
Merkle Root: b0946c062b95f92d11949e4f6d1e7f0c276b21fdd34d293073651c97678a456c
Random Number: 234880987
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- David sends $41 to Charlie
- Charlie sends $46 to Alice
- Charlie sends $36 to David
- Bob sends $41 to Alice
- Charlie sends $10 to Alice
- Emily sends $45 to David
- Charlie sends $26 to Bob
- Alice sends $45 to David
- Emily sends $15 to David
- Charlie sends $43 to Bob
==================================================
