Block Hash: d5fd4963435498fc544585360ed6fe00974db0eda83ddb6075d214224fe28f11
Previous Hash: b65953165813330f4a696d553a3d272805ad8ef1127c75dcce82821091e1cce2
Merkle Root: 2a01e6a975f3c4dd86e2d0af6009e558dee1044564dee922edce4a91f43015ee
Random Number: 75980828
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Charlie sends $43 to Bob
- Bob sends $46 to Charlie
- David sends $11 to Alice
- David sends $21 to Alice
- David sends $22 to Emily
- Alice sends $31 to Charlie
- David sends $42 to Charlie
- Emily sends $29 to Alice
- Bob sends $12 to Emily
- Emily sends $43 to Alice
==================================================
