Block Hash: d1e8f55fc5e857fd6668810ae361903f4f2ef869b0f91ef37fcda89e9c04add3
Previous Hash: 42c561ccf1cfe11c45f0d4080941cfb841e9355144b6ec70bbe6559036849b57
Merkle Root: 35e1ceee11c7a8779c8dd75317b1e9cc3c498db4ba0cefb450bec0851869caca
Random Number: 760265159
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Emily sends $42 to Charlie
- David sends $20 to Alice
- Charlie sends $23 to Emily
- Charlie sends $50 to Bob
- David sends $26 to Bob
- Bob sends $20 to Alice
- Charlie sends $39 to Bob
- Charlie sends $22 to Emily
- Bob sends $28 to Alice
- Bob sends $27 to David
==================================================
