Block Hash: 45a0758d6f0f861b69a54744e2f9dc18cd21dedbbcbf29f03de6b7344ab49db2
Previous Hash: 3d77f8de3ae19b2e9d67d7d7d31ac8298e5e27114c7418bd7d06fd9bcdf2ce75
Merkle Root: e379fa09d6af1a5ed366ccc208ecf27cc191d459926d6d27f2805c7507c976db
Random Number: 336628380
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $20 to Charlie
- Alice sends $22 to Bob
- Emily sends $18 to Bob
- Bob sends $14 to Emily
- Emily sends $48 to Alice
- Charlie sends $20 to Emily
- Charlie sends $34 to Alice
- Emily sends $35 to Bob
- Charlie sends $38 to Bob
- Bob sends $41 to Emily
==================================================
