Block Hash: 6d9b442fb49024d1108d8f1e3ba4a0656a51bf0cba44c939aa5d0cbda0e37dc5
Previous Hash: eed8c82f7ce9d7f01c538cefa90bf715ff88f1faecc2844424d2c3f6a9848bf2
Merkle Root: 82209ae13da98e03d8df3dfe8e9049c56f50ee12c3d540f9de40998c41d469d2
Random Number: 468170556
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Charlie sends $30 to David
- Alice sends $40 to Emily
- Alice sends $27 to Bob
- Bob sends $13 to Emily
- David sends $17 to Bob
- Alice sends $15 to Charlie
- Emily sends $15 to Charlie
- Alice sends $14 to Bob
- David sends $45 to Emily
- Bob sends $34 to Emily
==================================================
